	 Score 	 miRNAs 	 DEmiRNAPercentage 	 Total_miRNAs 	 TS_Genes 	 TSgenesPercentage 	 Module
Only in Control:  	 3.000 	 hsa-miR-15b-5p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-519c-3p is not DE, hsa-miR-526b-3p is not DE 	 25.00 	 4 	 ARHGAP12 	 30.00 	 ['4', 'hsa-miR-195-5p', 'hsa-miR-15b-5p', 'hsa-miR-519c-3p', 'hsa-miR-526b-3p', 'NUFIP2', 'ARHGAP12', 'SHOC2', 'KIF23']
Only in Control:  	 3.993 	 hsa-miR-15b-5p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-519b-3p is not DE, hsa-miR-519c-3p is not DE 	 25.00 	 4 	 ARHGAP12,FZD6,RPRD2 	 30.00 	 ['10', 'hsa-miR-195-5p', 'hsa-miR-15b-5p', 'hsa-miR-519c-3p', 'hsa-miR-519b-3p', 'PPIG', 'RBBP6', 'RPRD2', 'UBN2', 'NUFIP2', 'FZD6', 'PRKAA1', 'ARHGAP12', 'SHOC2', 'KIF23']
Only in Control:  	 3.000 	 hsa-miR-15b-5p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-373-3p is not DE, hsa-miR-497-5p is not DE 	 25.00 	 4 	 FZD6 	 30.00 	 ['4', 'hsa-miR-195-5p', 'hsa-miR-15b-5p', 'hsa-miR-373-3p', 'hsa-miR-497-5p', 'RBBP6', 'ELK4', 'UBN2', 'FZD6']
Only in Control:  	 3.858 	 hsa-miR-15b-5p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-373-3p is not DE, hsa-miR-520a-3p is not DE 	 25.00 	 4 	 FOXK1,FZD6 	 40.00 	 ['5', 'hsa-miR-195-5p', 'hsa-miR-15b-5p', 'hsa-miR-373-3p', 'hsa-miR-520a-3p', 'RBBP6', 'ELK4', 'FOXK1', 'UBN2', 'FZD6']
Only in Control:  	 3.057 	 hsa-miR-15b-5p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-373-3p is not DE, hsa-miR-519b-3p is not DE 	 25.00 	 4 	 FZD6 	 40.00 	 ['3', 'hsa-miR-195-5p', 'hsa-miR-15b-5p', 'hsa-miR-373-3p', 'hsa-miR-519b-3p', 'RBBP6', 'UBN2', 'FZD6']
Only in Control:  	 3.057 	 hsa-miR-15b-5p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-205-5p is not DE, hsa-miR-497-5p is not DE 	 25.00 	 4 	 DNAJA1 	 40.00 	 ['3', 'hsa-miR-195-5p', 'hsa-miR-15b-5p', 'hsa-miR-205-5p', 'hsa-miR-497-5p', 'DNAJA1', 'VEGFA', 'BCL2']
Only in Control:  	 3.057 	 hsa-miR-15b-5p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-23a-3p is not DE, hsa-miR-497-5p is not DE 	 25.00 	 4 	 RPRD2 	 40.00 	 ['3', 'hsa-miR-195-5p', 'hsa-miR-15b-5p', 'hsa-miR-23a-3p', 'hsa-miR-497-5p', 'ATXN7L3B', 'RPRD2', 'EN2']
Only in Control:  	 3.993 	 hsa-miR-130b-3p is not DE, hsa-miR-15b-5p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-497-5p is not DE 	 25.00 	 4 	 ARHGAP12,FZD6,RPRD2 	 30.00 	 ['10', 'hsa-miR-195-5p', 'hsa-miR-15b-5p', 'hsa-miR-130b-3p', 'hsa-miR-497-5p', 'PPIG', 'ZMAT3', 'GPRC5A', 'RPRD2', 'UBN2', 'CEP55', 'FZD6', 'PRKAA1', 'ARHGAP12', 'JARID2']
Only in Control:  	 4.585 	 hsa-miR-130b-3p is not DE, hsa-miR-15b-5p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-519b-3p is not DE 	 25.00 	 4 	 ARHGAP12,FZD6,RPRD2 	 50.00 	 ['6', 'hsa-miR-195-5p', 'hsa-miR-15b-5p', 'hsa-miR-130b-3p', 'hsa-miR-519b-3p', 'PPIG', 'RPRD2', 'UBN2', 'FZD6', 'PRKAA1', 'ARHGAP12']
Only in Control:  	 3.723 	 hsa-miR-15b-5p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-25-3p is not DE, hsa-miR-497-5p is not DE 	 25.00 	 4 	 FGF2,SMAD7 	 33.33 	 ['6', 'hsa-miR-195-5p', 'hsa-miR-15b-5p', 'hsa-miR-25-3p', 'hsa-miR-497-5p', 'AP5Z1', 'ASGR2', 'DDX3X', 'ZNF460', 'SMAD7', 'FGF2']
Only in Control:  	 3.723 	 hsa-miR-15b-5p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-25-3p is not DE, hsa-miR-92b-3p is not DE 	 25.00 	 4 	 FGF2,SMAD7 	 33.33 	 ['6', 'hsa-miR-195-5p', 'hsa-miR-15b-5p', 'hsa-miR-25-3p', 'hsa-miR-92b-3p', 'AP5Z1', 'ASGR2', 'DDX3X', 'ZNF460', 'SMAD7', 'FGF2']
Only in Control:  	 2.929 	 hsa-miR-15b-5p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-25-3p is not DE, hsa-miR-363-3p is not DE 	 25.00 	 4 	 FGF2 	 33.33 	 ['5', 'hsa-miR-195-5p', 'hsa-miR-15b-5p', 'hsa-miR-25-3p', 'hsa-miR-363-3p', 'AP5Z1', 'ASGR2', 'DDX3X', 'ZNF460', 'FGF2']
Only in Control:  	 2.929 	 hsa-miR-15b-5p is not DE, hsa-miR-185-5p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-497-5p is not DE 	 25.00 	 4 	 CCND2 	 33.33 	 ['5', 'hsa-miR-195-5p', 'hsa-miR-15b-5p', 'hsa-miR-185-5p', 'hsa-miR-497-5p', 'FAM103A1', 'ARIH1', 'AGO2', 'LUZP1', 'CCND2']
Only in Control:  	 3.057 	 hsa-miR-15b-5p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-376c-3p is not DE, hsa-miR-497-5p is not DE 	 25.00 	 4 	 FZD6 	 33.33 	 ['3', 'hsa-miR-195-5p', 'hsa-miR-15b-5p', 'hsa-miR-376c-3p', 'hsa-miR-497-5p', 'BZW1', 'CBX4', 'FZD6']
Only in Control:  	 3.000 	 hsa-miR-15b-5p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-497-5p is not DE, hsa-miR-520a-3p is not DE 	 25.00 	 4 	 FZD6 	 33.33 	 ['4', 'hsa-miR-195-5p', 'hsa-miR-15b-5p', 'hsa-miR-497-5p', 'hsa-miR-520a-3p', 'RBBP6', 'ELK4', 'UBN2', 'FZD6']
Only in Control:  	 3.057 	 hsa-miR-140-3p is not DE, hsa-miR-15b-5p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-497-5p is not DE 	 25.00 	 4 	 PSAT1 	 33.33 	 ['3', 'hsa-miR-195-5p', 'hsa-miR-15b-5p', 'hsa-miR-497-5p', 'hsa-miR-140-3p', 'FURIN', 'PSAT1', 'WEE1']
Only in Control:  	 3.993 	 hsa-miR-15b-5p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-497-5p is not DE, hsa-miR-92b-3p is not DE 	 25.00 	 4 	 FGF2,KIF5B,SMAD7 	 30.00 	 ['10', 'hsa-miR-195-5p', 'hsa-miR-15b-5p', 'hsa-miR-497-5p', 'hsa-miR-92b-3p', 'C11orf24', 'AP5Z1', 'ASGR2', 'KIF5B', 'NUFIP2', 'DDX3X', 'ZNF460', 'SMAD7', 'CPEB3', 'FGF2']
Only in Control:  	 2.929 	 hsa-miR-15b-5p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-363-3p is not DE, hsa-miR-497-5p is not DE 	 25.00 	 4 	 FGF2 	 30.00 	 ['5', 'hsa-miR-195-5p', 'hsa-miR-15b-5p', 'hsa-miR-497-5p', 'hsa-miR-363-3p', 'AP5Z1', 'ASGR2', 'DDX3X', 'ZNF460', 'FGF2']
Only in Control:  	 3.000 	 hsa-miR-15b-5p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-495-3p is not DE, hsa-miR-497-5p is not DE 	 25.00 	 4 	 FGF2 	 30.00 	 ['4', 'hsa-miR-195-5p', 'hsa-miR-15b-5p', 'hsa-miR-497-5p', 'hsa-miR-495-3p', 'CBX4', 'ZNF460', 'VEGFA', 'FGF2']
Only in Control:  	 3.604 	 hsa-miR-142-5p is not DE, hsa-miR-15b-5p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-497-5p is not DE 	 25.00 	 4 	 PDE4D,USP48 	 28.57 	 ['7', 'hsa-miR-195-5p', 'hsa-miR-15b-5p', 'hsa-miR-497-5p', 'hsa-miR-142-5p', 'USP48', 'PPIG', 'TAF13', 'ELK4', 'CHAC1', 'SZRD1', 'PDE4D']
Only in Control:  	 3.000 	 hsa-miR-15b-5p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-497-5p is not DE, hsa-miR-590-5p is not DE 	 25.00 	 4 	 EIF1AX 	 28.57 	 ['4', 'hsa-miR-195-5p', 'hsa-miR-15b-5p', 'hsa-miR-497-5p', 'hsa-miR-590-5p', 'EIF1AX', 'AGO2', 'CBX4', 'ZNF460']
Only in Control:  	 2.929 	 hsa-miR-15b-5p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-497-5p is not DE, hsa-miR-526b-3p is not DE 	 25.00 	 4 	 ARHGAP12 	 28.57 	 ['5', 'hsa-miR-195-5p', 'hsa-miR-15b-5p', 'hsa-miR-497-5p', 'hsa-miR-526b-3p', 'ELK4', 'NUFIP2', 'ARHGAP12', 'SHOC2', 'KIF23']
Only in Control:  	 3.993 	 hsa-miR-15b-5p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-497-5p is not DE, hsa-miR-519b-3p is not DE 	 25.00 	 4 	 ARHGAP12,FZD6,RPRD2 	 30.00 	 ['10', 'hsa-miR-195-5p', 'hsa-miR-15b-5p', 'hsa-miR-497-5p', 'hsa-miR-519b-3p', 'PPIG', 'RBBP6', 'RPRD2', 'UBN2', 'NUFIP2', 'FZD6', 'PRKAA1', 'ARHGAP12', 'SHOC2', 'KIF23']
Only in Control:  	 3.000 	 hsa-miR-15b-5p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-411-3p is not DE, hsa-miR-497-5p is not DE 	 25.00 	 4 	 FZD6 	 30.00 	 ['4', 'hsa-miR-195-5p', 'hsa-miR-15b-5p', 'hsa-miR-497-5p', 'hsa-miR-411-3p', 'SYPL1', 'FZD6', 'ZNF460', 'SHOC2']
Only in Control:  	 5.000 	 hsa-miR-15b-5p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-3125 is not DE, hsa-miR-497-5p is not DE 	 25.00 	 4 	 CCND2,EIF1AX,PRKAR2A 	 75.00 	 ['4', 'hsa-miR-195-5p', 'hsa-miR-15b-5p', 'hsa-miR-497-5p', 'hsa-miR-3125', 'EIF1AX', 'AMOTL1', 'PRKAR2A', 'CCND2']
Only in Control:  	 3.057 	 hsa-miR-15b-5p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-3065-5p is not DE, hsa-miR-497-5p is not DE 	 25.00 	 4 	 ARHGAP12 	 75.00 	 ['3', 'hsa-miR-195-5p', 'hsa-miR-15b-5p', 'hsa-miR-497-5p', 'hsa-miR-3065-5p', 'SYPL1', 'C1orf21', 'ARHGAP12']
Only in Control:  	 4.786 	 hsa-miR-15b-5p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-4506 is not DE, hsa-miR-497-5p is not DE 	 25.00 	 4 	 FZD6,L2HGDH,ORC4 	 60.00 	 ['5', 'hsa-miR-195-5p', 'hsa-miR-15b-5p', 'hsa-miR-497-5p', 'hsa-miR-4506', 'ORC4', 'L2HGDH', 'GPATCH8', 'FZD6', 'NAA25']
Only in Control:  	 5.000 	 hsa-miR-15b-5p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-376b-3p is UP, hsa-miR-497-5p is not DE 	 50.00 	 4 	 FGF2 	 60.00 	 ['4', 'hsa-miR-195-5p', 'hsa-miR-15b-5p', 'hsa-miR-497-5p', 'hsa-miR-376b-3p', 'GNAT1', 'HCFC2', 'TMEM245', 'FGF2']
Only in Control:  	 4.786 	 hsa-miR-1225-5p is not DE, hsa-miR-15b-5p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-497-5p is not DE 	 25.00 	 4 	 L2HGDH,ODF2L,ORC4 	 60.00 	 ['5', 'hsa-miR-195-5p', 'hsa-miR-15b-5p', 'hsa-miR-497-5p', 'hsa-miR-1225-5p', 'NNT', 'ODF2L', 'ORC4', 'REL', 'L2HGDH']
Only in Control:  	 3.057 	 hsa-miR-15b-5p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-497-5p is not DE, hsa-miR-655-3p is not DE 	 25.00 	 4 	 FZD6 	 60.00 	 ['3', 'hsa-miR-195-5p', 'hsa-miR-15b-5p', 'hsa-miR-497-5p', 'hsa-miR-655-3p', 'GPATCH8', 'FZD6', 'E2F7']
Only in Control:  	 3.723 	 hsa-miR-126-5p is not DE, hsa-miR-15b-5p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-497-5p is not DE 	 25.00 	 4 	 L2HGDH,PSAT1 	 33.33 	 ['6', 'hsa-miR-195-5p', 'hsa-miR-15b-5p', 'hsa-miR-497-5p', 'hsa-miR-126-5p', 'L2HGDH', 'ELK4', 'ZNF460', 'NAPG', 'PSAT1', 'PLAG1']
Only in Control:  	 5.057 	 hsa-miR-15b-5p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-376a-2-5p is DOWN, hsa-miR-497-5p is not DE 	 50.00 	 4 	 EIF1AX 	 33.33 	 ['3', 'hsa-miR-195-5p', 'hsa-miR-15b-5p', 'hsa-miR-497-5p', 'hsa-miR-376a-2-5p', 'EIF1AX', 'ZCCHC3', 'E2F7']
Only in Control:  	 4.113 	 hsa-miR-15b-5p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-497-5p is not DE, hsa-miR-6880-5p is not DE 	 25.00 	 4 	 MAFK,SRSF1 	 66.67 	 ['3', 'hsa-miR-195-5p', 'hsa-miR-15b-5p', 'hsa-miR-497-5p', 'hsa-miR-6880-5p', 'SESTD1', 'MAFK', 'SRSF1']
Only in Control:  	 3.409 	 hsa-miR-15b-5p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-362-3p is not DE, hsa-miR-497-5p is not DE 	 25.00 	 4 	 PIK3R1,PLRG1 	 22.22 	 ['9', 'hsa-miR-195-5p', 'hsa-miR-15b-5p', 'hsa-miR-497-5p', 'hsa-miR-362-3p', 'ABCC6', 'PHKA1', 'UBN2', 'PLRG1', 'NUFIP2', 'AGO2', 'PIK3R1', 'PLAG1', 'CHEK1']
Only in Control:  	 3.057 	 hsa-miR-15b-5p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-487a-5p is not DE, hsa-miR-497-5p is not DE 	 25.00 	 4 	 FZD6 	 22.22 	 ['3', 'hsa-miR-195-5p', 'hsa-miR-15b-5p', 'hsa-miR-497-5p', 'hsa-miR-487a-5p', 'EN2', 'FZD6', 'ZNF460']
Only in Control:  	 3.057 	 hsa-miR-15b-5p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-369-3p is not DE, hsa-miR-497-5p is not DE 	 25.00 	 4 	 FZD6 	 22.22 	 ['3', 'hsa-miR-195-5p', 'hsa-miR-15b-5p', 'hsa-miR-497-5p', 'hsa-miR-369-3p', 'ZFHX4', 'FZD6', 'TNFSF9']
Only in Control:  	 3.057 	 hsa-miR-15b-5p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-497-5p is not DE, hsa-miR-924 is not DE 	 25.00 	 4 	 USP42 	 22.22 	 ['3', 'hsa-miR-195-5p', 'hsa-miR-15b-5p', 'hsa-miR-497-5p', 'hsa-miR-924', 'EFNB2', 'USP42', 'WEE1']
Only in Control:  	 3.057 	 hsa-miR-15b-5p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-519b-3p is not DE, hsa-miR-520a-3p is not DE 	 25.00 	 4 	 FZD6 	 22.22 	 ['3', 'hsa-miR-195-5p', 'hsa-miR-15b-5p', 'hsa-miR-520a-3p', 'hsa-miR-519b-3p', 'RBBP6', 'UBN2', 'FZD6']
Only in Control:  	 2.929 	 hsa-miR-15b-5p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-363-3p is not DE, hsa-miR-92b-3p is not DE 	 25.00 	 4 	 FGF2 	 22.22 	 ['5', 'hsa-miR-195-5p', 'hsa-miR-15b-5p', 'hsa-miR-92b-3p', 'hsa-miR-363-3p', 'AP5Z1', 'ASGR2', 'DDX3X', 'ZNF460', 'FGF2']
Only in Control:  	 3.000 	 hsa-miR-15b-5p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-519b-3p is not DE, hsa-miR-526b-3p is not DE 	 25.00 	 4 	 ARHGAP12 	 22.22 	 ['4', 'hsa-miR-195-5p', 'hsa-miR-15b-5p', 'hsa-miR-526b-3p', 'hsa-miR-519b-3p', 'NUFIP2', 'ARHGAP12', 'SHOC2', 'KIF23']
Only in Control:  	 4.113 	 hsa-miR-145-5p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-424-5p is not DE, hsa-miR-503-5p is not DE 	 25.00 	 4 	 ORC4,PSAT1 	 66.67 	 ['3', 'hsa-miR-195-5p', 'hsa-miR-145-5p', 'hsa-miR-503-5p', 'hsa-miR-424-5p', 'ORC4', 'VEGFA', 'PSAT1']
Only in Control:  	 4.113 	 hsa-miR-145-5p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-497-5p is not DE, hsa-miR-503-5p is not DE 	 25.00 	 4 	 ORC4,PSAT1 	 66.67 	 ['3', 'hsa-miR-195-5p', 'hsa-miR-145-5p', 'hsa-miR-503-5p', 'hsa-miR-497-5p', 'ORC4', 'VEGFA', 'PSAT1']
Only in Control:  	 4.000 	 hsa-miR-145-5p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-424-5p is not DE, hsa-miR-497-5p is not DE 	 25.00 	 4 	 ORC4,PSAT1 	 50.00 	 ['4', 'hsa-miR-195-5p', 'hsa-miR-145-5p', 'hsa-miR-424-5p', 'hsa-miR-497-5p', 'ORC4', 'VEGFA', 'PSAT1', 'TPM3']
Only in Control:  	 3.000 	 hsa-miR-122-5p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-424-5p is not DE, hsa-miR-497-5p is not DE 	 25.00 	 4 	 MAFK 	 50.00 	 ['4', 'hsa-miR-195-5p', 'hsa-miR-122-5p', 'hsa-miR-424-5p', 'hsa-miR-497-5p', 'REL', 'MAFK', 'SLC2A3', 'AKT3']
Only in Control:  	 3.057 	 hsa-miR-101-3p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-376c-3p is not DE, hsa-miR-424-5p is not DE 	 25.00 	 4 	 FZD6 	 50.00 	 ['3', 'hsa-miR-195-5p', 'hsa-miR-101-3p', 'hsa-miR-424-5p', 'hsa-miR-376c-3p', 'BZW1', 'CBX4', 'FZD6']
Only in Control:  	 3.723 	 hsa-miR-101-3p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-424-5p is not DE, hsa-miR-497-5p is not DE 	 25.00 	 4 	 DNAJA1,FZD6 	 33.33 	 ['6', 'hsa-miR-195-5p', 'hsa-miR-101-3p', 'hsa-miR-424-5p', 'hsa-miR-497-5p', 'DNAJA1', 'BZW1', 'GNB1', 'CBX4', 'FZD6', 'VEGFA']
Only in Control:  	 3.057 	 hsa-miR-101-3p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-376c-3p is not DE, hsa-miR-497-5p is not DE 	 25.00 	 4 	 FZD6 	 33.33 	 ['3', 'hsa-miR-195-5p', 'hsa-miR-101-3p', 'hsa-miR-376c-3p', 'hsa-miR-497-5p', 'BZW1', 'CBX4', 'FZD6']
Only in Control:  	 4.113 	 hsa-let-7a-5p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-424-5p is not DE, hsa-miR-503-5p is not DE 	 25.00 	 4 	 CCND1,CCND2 	 66.67 	 ['3', 'hsa-miR-195-5p', 'hsa-let-7a-5p', 'hsa-miR-503-5p', 'hsa-miR-424-5p', 'BZW1', 'CCND1', 'CCND2']
Only in Control:  	 2.802 	 hsa-let-7a-5p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-424-5p is not DE, hsa-miR-497-5p is not DE 	 25.00 	 4 	 CCND2 	 66.67 	 ['7', 'hsa-miR-195-5p', 'hsa-let-7a-5p', 'hsa-miR-424-5p', 'hsa-miR-497-5p', 'ZCCHC3', 'ATXN7L3B', 'BZW1', 'ZNF460', 'ATG9A', 'TNFSF9', 'CCND2']
Only in Control:  	 2.929 	 hsa-let-7a-5p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-202-3p is not DE, hsa-miR-424-5p is not DE 	 25.00 	 4 	 CCND1 	 66.67 	 ['5', 'hsa-miR-195-5p', 'hsa-let-7a-5p', 'hsa-miR-424-5p', 'hsa-miR-202-3p', 'ATXN7L3B', 'ZNF460', 'ATG9A', 'TNFSF9', 'CCND1']
Only in Control:  	 3.057 	 hsa-miR-193b-3p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-424-5p is not DE, hsa-miR-503-5p is not DE 	 25.00 	 4 	 CCND1 	 66.67 	 ['3', 'hsa-miR-195-5p', 'hsa-miR-193b-3p', 'hsa-miR-503-5p', 'hsa-miR-424-5p', 'ZMAT3', 'DCTN5', 'CCND1']
Only in Control:  	 5.000 	 hsa-miR-195-5p is DOWN, hsa-miR-20b-5p is not DE, hsa-miR-503-5p is not DE, hsa-miR-519d-3p is DOWN 	 50.00 	 4 	 CCND1 	 66.67 	 ['4', 'hsa-miR-195-5p', 'hsa-miR-20b-5p', 'hsa-miR-519d-3p', 'hsa-miR-503-5p', 'NUFIP2', 'KIF23', 'WEE1', 'CCND1']
Only in Control:  	 5.604 	 hsa-miR-195-5p is DOWN, hsa-miR-20b-5p is not DE, hsa-miR-424-5p is not DE, hsa-miR-519d-3p is DOWN 	 50.00 	 4 	 ARHGAP12,CCND1 	 28.57 	 ['7', 'hsa-miR-195-5p', 'hsa-miR-20b-5p', 'hsa-miR-519d-3p', 'hsa-miR-424-5p', 'ELK4', 'NUFIP2', 'ARHGAP12', 'SHOC2', 'KIF23', 'WEE1', 'CCND1']
Only in Control:  	 5.000 	 hsa-miR-195-5p is DOWN, hsa-miR-20b-5p is not DE, hsa-miR-519c-3p is not DE, hsa-miR-519d-3p is DOWN 	 50.00 	 4 	 ARHGAP12 	 28.57 	 ['4', 'hsa-miR-195-5p', 'hsa-miR-20b-5p', 'hsa-miR-519d-3p', 'hsa-miR-519c-3p', 'NUFIP2', 'ARHGAP12', 'SHOC2', 'KIF23']
Only in Control:  	 4.862 	 hsa-miR-195-5p is DOWN, hsa-miR-20b-5p is not DE, hsa-miR-497-5p is not DE, hsa-miR-519d-3p is DOWN 	 50.00 	 4 	 ARHGAP12 	 28.57 	 ['6', 'hsa-miR-195-5p', 'hsa-miR-20b-5p', 'hsa-miR-519d-3p', 'hsa-miR-497-5p', 'ELK4', 'NUFIP2', 'ARHGAP12', 'SHOC2', 'KIF23', 'WEE1']
Only in Control:  	 6.250 	 hsa-miR-195-5p is DOWN, hsa-miR-20b-5p is not DE, hsa-miR-519d-3p is DOWN, hsa-miR-526b-3p is not DE 	 50.00 	 4 	 ARHGAP12,CCND1,FOXK1 	 37.50 	 ['8', 'hsa-miR-195-5p', 'hsa-miR-20b-5p', 'hsa-miR-519d-3p', 'hsa-miR-526b-3p', 'ELK4', 'FOXK1', 'ACTR2', 'NUFIP2', 'ARHGAP12', 'SHOC2', 'KIF23', 'CCND1']
Only in Control:  	 5.000 	 hsa-miR-195-5p is DOWN, hsa-miR-20b-5p is not DE, hsa-miR-519b-3p is not DE, hsa-miR-519d-3p is DOWN 	 50.00 	 4 	 ARHGAP12 	 37.50 	 ['4', 'hsa-miR-195-5p', 'hsa-miR-20b-5p', 'hsa-miR-519d-3p', 'hsa-miR-519b-3p', 'NUFIP2', 'ARHGAP12', 'SHOC2', 'KIF23']
Only in Control:  	 2.929 	 hsa-miR-195-5p is DOWN, hsa-miR-20b-5p is not DE, hsa-miR-424-5p is not DE, hsa-miR-503-5p is not DE 	 25.00 	 4 	 CCND1 	 37.50 	 ['5', 'hsa-miR-195-5p', 'hsa-miR-20b-5p', 'hsa-miR-503-5p', 'hsa-miR-424-5p', 'NUFIP2', 'VEGFA', 'KIF23', 'WEE1', 'CCND1']
Only in Control:  	 3.057 	 hsa-miR-195-5p is DOWN, hsa-miR-20b-5p is not DE, hsa-miR-503-5p is not DE, hsa-miR-526b-3p is not DE 	 25.00 	 4 	 CCND1 	 37.50 	 ['3', 'hsa-miR-195-5p', 'hsa-miR-20b-5p', 'hsa-miR-503-5p', 'hsa-miR-526b-3p', 'NUFIP2', 'KIF23', 'CCND1']
Only in Control:  	 3.000 	 hsa-miR-195-5p is DOWN, hsa-miR-20b-5p is not DE, hsa-miR-424-5p is not DE, hsa-miR-519c-3p is not DE 	 25.00 	 4 	 ARHGAP12 	 37.50 	 ['4', 'hsa-miR-195-5p', 'hsa-miR-20b-5p', 'hsa-miR-424-5p', 'hsa-miR-519c-3p', 'NUFIP2', 'ARHGAP12', 'SHOC2', 'KIF23']
Only in Control:  	 2.802 	 hsa-miR-195-5p is DOWN, hsa-miR-20b-5p is not DE, hsa-miR-424-5p is not DE, hsa-miR-497-5p is not DE 	 25.00 	 4 	 ARHGAP12 	 37.50 	 ['7', 'hsa-miR-195-5p', 'hsa-miR-20b-5p', 'hsa-miR-424-5p', 'hsa-miR-497-5p', 'ELK4', 'NUFIP2', 'ARHGAP12', 'VEGFA', 'SHOC2', 'KIF23', 'WEE1']
Only in Control:  	 3.723 	 hsa-miR-195-5p is DOWN, hsa-miR-20b-5p is not DE, hsa-miR-424-5p is not DE, hsa-miR-526b-3p is not DE 	 25.00 	 4 	 ARHGAP12,CCND1 	 33.33 	 ['6', 'hsa-miR-195-5p', 'hsa-miR-20b-5p', 'hsa-miR-424-5p', 'hsa-miR-526b-3p', 'ELK4', 'NUFIP2', 'ARHGAP12', 'SHOC2', 'KIF23', 'CCND1']
Only in Control:  	 3.000 	 hsa-miR-195-5p is DOWN, hsa-miR-20b-5p is not DE, hsa-miR-424-5p is not DE, hsa-miR-519b-3p is not DE 	 25.00 	 4 	 ARHGAP12 	 33.33 	 ['4', 'hsa-miR-195-5p', 'hsa-miR-20b-5p', 'hsa-miR-424-5p', 'hsa-miR-519b-3p', 'NUFIP2', 'ARHGAP12', 'SHOC2', 'KIF23']
Only in Control:  	 3.000 	 hsa-miR-195-5p is DOWN, hsa-miR-20b-5p is not DE, hsa-miR-497-5p is not DE, hsa-miR-519c-3p is not DE 	 25.00 	 4 	 ARHGAP12 	 33.33 	 ['4', 'hsa-miR-195-5p', 'hsa-miR-20b-5p', 'hsa-miR-519c-3p', 'hsa-miR-497-5p', 'NUFIP2', 'ARHGAP12', 'SHOC2', 'KIF23']
Only in Control:  	 3.000 	 hsa-miR-195-5p is DOWN, hsa-miR-20b-5p is not DE, hsa-miR-519c-3p is not DE, hsa-miR-526b-3p is not DE 	 25.00 	 4 	 ARHGAP12 	 33.33 	 ['4', 'hsa-miR-195-5p', 'hsa-miR-20b-5p', 'hsa-miR-519c-3p', 'hsa-miR-526b-3p', 'NUFIP2', 'ARHGAP12', 'SHOC2', 'KIF23']
Only in Control:  	 3.000 	 hsa-miR-195-5p is DOWN, hsa-miR-20b-5p is not DE, hsa-miR-519b-3p is not DE, hsa-miR-519c-3p is not DE 	 25.00 	 4 	 ARHGAP12 	 33.33 	 ['4', 'hsa-miR-195-5p', 'hsa-miR-20b-5p', 'hsa-miR-519c-3p', 'hsa-miR-519b-3p', 'NUFIP2', 'ARHGAP12', 'SHOC2', 'KIF23']
